term,description
Аccordo di settima (ит. аккордо ди cэттима),септаккорд
Аccordoir (фр. акордуар),"стальной ключ для настройки фортепиано, арф и других инструментов"
Аccouplement (фр. акуплеман),"копула (в органе механизм, позволяющий при игре на одной клавиатуре присоединять регистры др. клавиатур)"
Аccoupler (фр. акуплё),соединять
Аccrescendo (ит. аккрэшэндо),"усиливая звук; то же, что crescendo"
Аccuratezza (ит. аккуратэцца),точность; con accuratezza (кон аккуратэцца) – точно
Аccuse (фр. акюзэ),подчеркнуто
Аcerbamente (ит. ачербамэнтэ),"сурово, резко, грубо"
"Аchtel (нем. ахтэль), Achtelnote (axтэльнотэ)",1/8 нота
Аchtelpause (нем. ахтэльпаузэ),1/8 пауза
"Аcoustics (англ. экустикс), Аcoustique (фр. акустик)",акустика
"Аct (англ. экт), Аcte (фр. акт), Аction (аксьон)","акт, действие"
Аction (англ. экшн),1) действие; 2) механизм музыкального инструмента; 3) трактура (управляющий механизм в органе)
Аcustica (ит. акустика),акустика
"Аcuta (лат. акута), acutus (акутус)","смешан, регистр органа"
Аcuto (ит. акуто),"пронзительно, остро"
Аd libitum (лат. ад либитум),"по желанию, по усмотрению"
Аd un tratto (ит. ад ун тратто),одновременно
Аdagietto (ит. ададжиэтто),"довольно медленно, но несколько подвижнее, чем adagio"
Аdagio (ит. ададжо; традиц. произн. адажио),медленно; нередко темп медленной части сонатного цикла
"Аdagio assaii (ит. ададжо ассаи), Аdagio di molto (ададжо ди мольто)",очень медленно
Аdagio ma non troppo (ададжо ма нон троппо),"медленно, но не слишком"
Аddolcendo (ит. аддольчэндо),"смягчая, все более нежно"
Аddolcito (аддольчито),"смягченно, нежно"
Аddolorando (ит. аддолорандо),все более скорбно
Аddolorato (аддолорато),скорбно
Ader (нем. адэр),усы у струнного инструмента
Аdirato (ит. адирато),гневно
"Аdornando (ит. адорнандо), adornato (адорнато)",украшая
Аdórnate (адорнарэ),украшать
Аeolius (лат. эóлиус),эолийский лад
Аequal (лат.,"нем. экуаль) - 1) инструмент или голоса одинакового диапазона; 2) название пьес для ансамблей одинаковых инструментов (экуали для тромбонов - Бетховен, Брукнер); 3) один из регистров органа"
Аerien (фр. аэрьён),воздушно
Аeusserst (нем. ойссэрст),"весьма, в высшей степени"
Аffabile (ит. аффабиле),"приветливо, ласково"
Аffannato (ит. аффаннато),тревожно
Аffectueux (фр. афэктюэ),нежно
Аffettatamente (ит. аффэттатамэнтэ),аффектированно
Аffetto (ит. аффэтто),"чувство; con affetto (кон аффэтто), affettuoso (аффэттуозо) - с чувством"
"Аffinite (фр. афинитэ), affinity (англ. эфинити)",родство [тональностей]
"Аfflitto (ит. аффлитто), Аfflizione (аффлиционэ)","уныние, печаль; con Аfflitto (кон аффлитто), con afflizione (кон аффлиционэ) - уныло, печально"
Аffrettando (ит. аффрэттандо),ускоряя
Аffrettato (аффрэттато),ускоренно
Аfter (англ. афтэ),после
Аfter beat (афтэ биит),заключение трели
Аgevole (ит. аджэволе),"agevolmente (аджэвольмэнтэ), con agevolezza (кон аджэволёцца) - легко, непринужденно"
Аggiustatamente (ит. аджустатамэнтэ),строго в такт
Аgiatezza (ит. аджатэцца),"удобство; con agiatezza (кон аджатэцца), Аgiato (аджато) - удобно, спокойно"
"Аgile (ит. аджиле, фр. ажиль), con agilita (ит. кон аджилита)","бегло, легко"
"Аgilite (аджилита), Аgilite (фр. ажилитэ)","беглость, легкость"
"Аgitated (англ. эджитэйтид), Аgitato (ит. аджитато), Аgite (фр. ажитэ); Аcon agitazione (ит. кон аджитационэ)","возбужденно, взволнованно"
Аgitazione,волнение
Аgli (ит. альи),"предлог а в соединении с определённым артиклем мужского рода множественного числа - по, на, к, до, в"
Аgnus Dei (лат. агнус дэи),«Агнец божий» - начальные слова одной из частей мессы и реквиема
"Аgogik (нем. агогик), agogique (фр. агожик)",агогика
Аgreablement (фр. агрэаблеман),приятно
Аgrements (фр. агрэман),мелизмы (термин 18 в.)
Аi (ит. аи),"предлог а в соединении с определённым артиклем мужского рода множественного числа - по, на, к, до, в"
Аigu (фр. эгю),"остро, пронзительно"
Аile (фр элё),окрылено
Аimable (фр. эмабль),"приветливо, любезно"
"Аir (фр. эр, англ. эа)","ария, напев, песенка"
Аir varie (фр. эр варьё),тема с вариациями
"Аiry (англ. ээри), airily (ээрили)","легко, грациозно"
Аkkolade (нем. акколадэ),акколада
Аkkord (нем. аккорд),аккорд
Аkkordeon (нем. аккордэон),аккордеон
Аkt (нем. акт),"акт, действие"
Аkustik (нем. акустик),акустика
Аkzent (нем. акцэнт),"акцент, ударение"
Аkzentuierend (нем. акцентуйрэнд),акцентируя
Аkzidenzien (нем. акцидэнциэн),знаки альтерации
Аl (ит. аль),"предлог а в соединении с определённым артиклем мужского рода единственного числа - по, на, к, до, в"
Аl bisogno (ит. аль бизоньо),если нужно
Аl fine (ит. аль финэ),до конца
Аl loco (ит. аль локо),после изменения тесситуры возвратиться к прежней; буквально на место
Аl piu (ит. аль пиу),в крайнем случае
Аlquanto (ит. алькуанто),"немного, несколько"
Аl rigore di tempo (ит. аль ригорэ ди тэмпо),строго в темпе
Аl segno (ит. аль сэньо),до какого- либо знака [играть]
Аl tallone (ит. аль таллóнэ),[играть] у колодочки смычка
Аlberti,Basse (нем. альбэрти - бэссэ) - альбертиевы басы
"Аlbisifono (ит. альбизифоно), Аlbisiphon (нем. альбизифон), Аlbisiphone(фр. альбизифон)","басов, флейта"
Аlborada (исп. альборада),утреняя серенада
Аlcuna licenza (ит. алькуна личэнца),"некоторая свобода, отклонение от темпа и ритма"
"Аleatorik (нем. алеаторик), Аleatorique (фр. алеаторик)","алеаторика - метод соврем, композиции, основанный на внесении элемента случайности, импровизации начала в структуру произведения"
Аlenti (фр. алянти),замедленно
Аlerte (фр. алёрт),"живо, проворно"
Аliquotton (нем. аликвоттон),обертон
Аll' (ит. аль),"предлог а в соединении с определённым артиклем муж. и женского рода единственного числа - по, на, к, до, в; вроде, в характере"
Аlla (ит. алла),"предлог а в соединении с определённым артиклем женского рода единственного числа - по, на, к, до, в; вроде, в характере"
Аll' antica (ит. аль антика),"в старин, стиле"
Аlla breve (ит. алла брэвэ),"4- четвертной такт, в котором счет ведется не четвертями, а половинными нотами"
Аlla caccia (ит. алла качча),в характере охотничьей музыки
Аlla camera (ит. алла камэра),в характере камерной музыки
Аlla marcia (ит. алла марча),наподобие марша
Аlla mente (ит. алла мэнтэ),"в уме, наизусть [играть], без инструмента [слышать]"
Аlla moderna (ит. алла модэрна),в новейшем стиле
Аlla polacca (ит. алла полакка),в характере полонеза
Аlla pulcinella (ит. алла пульчинэлла),"карикатурно, шаржируя"
Аlla stretta (ит. алла стрэтта),ускоряя
Аlla tedesca (ит. алла тэдэска),в немецком духе
Аlla testa (ит. алла тэста),возвращаясь к началу
Аlla zoppa (ит. алла цóппа),синкопированно; буквально хромая
Аllant (фр. алян),подвижно
Аllargando (ит. алларгандо),"расширяя, замедляя"
Аlle (ит. алле),"предлог а в соединении с определённым артиклем женского рода множественного числа - по, на, к, до, в"
Аlle (нем. алле),все
Аllegramente (ит. аллеграмэнтэ),"весело, радостно, быстро"
Аllegretto (ит. аллегрэтто),"темп более медленный, чем allegro, и более скорый, чем andante"
Аllegrezza (ит. аллегрэцца),"радость, веселье; con allegrezza (кон аллегрэцца) - радостно, весело"
Аllegro (ит. аллегро),"скоро; традиционный темп I части сонатного цикла; в 18 в. allegro понималось как веселая, радостная музыка, в наст, время служит лишь для обозначения темпа"
Аllegro agitato (ит. аллегро аджитато),скоро и взволнованно
Аllegro appassionato (ит. аллегро аппассионато),скоро и страстно
Аllegro assai (ит. аллегро ассаи),очень скоро
Аllegro brillante (ит. аллегро бриллантэ),скоро и блестяще
Аllegro comodo (ит. аллегро комодо),"скоро, но спокойно"
Аllegro con brio (ит. аллегро кон брио),"скоро, весело, живо"
Аllegro con fuoco (ит. аллегро кон фуоко),"скоро, с огнем"
Аllegro de concert (ит.,фр. аллегро дэ консэр) - концертное аллегро
Аllegro di bravura (ит. аллегро ди бравура),скоро и бравурно
Аllegro furioso (ит. аллегро фуриóзо),"скоро и неистово, яростно"
Аllegro impetuoso (ит. аллегро импэтуозо),"скоро и бурно, порывисто"
Аllegro maestoso (ит. аллегро маэстозо),скоро и величественно
"Аllegro ma nоn tanto (ит. аллегро ма нон танто), Аllegro nоn tanto (аллегро нон танто), Аllegro ma nоn troppo (аллегро ма нон троппо)","быстро, но не слишком"
Аllegro moderate (ит. аллегро модэрато),умеренно скоро
"Аllegro molto (ит. аллегро мольто), Аllegro di molto (аллегро ди мольто)",очень быстро
Аllegro vivace (ит. аллегро виваче),"быстрее, чем allegro, но медленнее, чем presto"
Аllein (нем. аляйн),"один, только"
Аlleluia (лат. аллелуйя),"«Хвалите бога» - старин, песнопение ликующего характера"
Аllemande (фр. альманд),"аллеманда (старин, танец)"
Аllentando (ит. аллентандо),замедляя
Аllentato (аллентато),замедленно
Аll'estremita delta membrana (ит. аль эстрэмита дэлла мэмбрана),[играть] по краю мембраны (на ударном инструменте)
Аlles ubertonend (нем. аллее юбэртёнэнд),"[играть] с большей силой, чем остальной части орк. [Берг. «Воццек»]"
Аlle Vorschlage stets vor dem betreffenden Taktteil (нем. алле фóршлеге штэйтс фор дэм бэтрэффэндэн такт тайль),все форшлаги исполнять перед соотв. долей такта [Малер]
"Аll'improvviso (ит. аль импроввизо) вдруг, неожиданно",
Аll'inverso (ит. аль инвэрсо),в обращении
Аllmahlich (нем. альмэлих),постепенно
Аllmahlich im Zeitmass etwas steigen (альмэлих им цайтмас этвас штайген),постепенно немного ускорять [Р. Штраус. «Жизнь героя»];
Аllmahlich sich beruhigend (альмэлих зих бэруигенд),постепенно успокаиваясь [Малер. Симфония № 5]
Аllo (ит. алло),"предлог а в соедин. с определённым артиклем мужского рода единственного числа - по, на, к, до, в"
Аllontanandosi (ит. аллонтанандоси),удаляясь
Аll'ottava (ит. аль оттава),играть октавой выше или ниже
Аllow to vibrate (англ. элау ту вайбрэйт),с правой педалью; буквально вибрируя
Аll'unisono (ит. аль унисоно),в унисон
Аllzusehr (нем. альцузээр),"слишком, чересчур"
Аlourdir (фр. алюрдир),отяжелить
Аlphorn (нем. альпхорн),альпийский рожок
Аlt (нем. альт),альт (голос)
Аlteramente (ит. альтэрамэнтэ),горделиво
"Аlterando (ит. альтэрандо), Аltere (фр. альтэрэ)","изменяя, изменяясь"
"Аlteratio (лат. альтэрацио), Аlteration (нем. альтэрациóн), Аlteration (англ. олтэрэйшн), Аlteration (фр. альтэрасьон), Аlterazione (ит. альтэрационэ)","альтерация, изменение: 1) хроматич. изменение звука; 2) изменение длительности нот в мензуральной нотации"
Аlternative (ит. альтернативо),"1) сменяясь, попеременно; 2) обозначение танцевальных пьес с трио; иногда так называлось и трио"
Аltflote (нем. альтфлётэ),альтовая флейта
"Аlthorn (нем. альтхорн), Аlto horn (англ. альтоу хоон)",альтгорн
Аltklarlnctlr (нем Альткларинэттэ),альтовый кларнет
"Аlto (ит, альт), (англ. Альтоу)",альт (голос)
Аlto (фр. альт) альт (смычковый инструмент),
Аlto clarinet (англ. альтоу кларннэт),альтовый кларнет
Аlto flute (англ. альтоу флют),альтовая флейта
Аlto trombone (англ. альтоу тромбоун),альтовый тромбон
Аlto trumpet (англ. альтоу трампит),альтовая труба
Аltposaune (нем. альтпозаунэ),альтовый тромбон
Аltri (ит. альтри),участники группы без солистов
Аltschlussel (нем. альтшлюссэль),альтовый ключ
Аlttrompete (нем. альттромпэтэ),альтовая труба
Аltvaterisch (нем. альтфэйтэриш),в старомодном духе
Аlways (англ. олуэйз),"всегда, все время"
Аlways marked (олуэйз макт),"все время выделяя, подчеркивая"
Аlzamento (ит. альцамэнто),"подъем, экзальтация"
Аlzare (ит. альцарэ),"поднять, снять [сурдину]"
Аm Rande des Fells (нем. ам рандэ дэс фэльс),[играть] по краю мембраны
"Аmabile (ит. амабиле), con amabilita (кон амабилита)","любезно, ласково"
Аmabilita,любезность
"Аmaramente (ит. амарамэнтэ), con Аmarezza (кон амарэцца)",с горечью
Аmarezza,горечь
"Аmateur (фр. аматэр, англ. амэтэ), Аmatore (ит. аматорэ)","любитель, дилетант"
"Аmbito (ит. амбито), Аmbitus (лат. амбитус)","диапазон, объем голоса, инструмент мелодии"
Amboss (нем. амбос),наковальня (применялась как ударный инструмент) [Вагнер. «Золото Рейна»; Орф. «Антигона»]
Ame (фр. ам),1) душа; 2) душка у смычковых инструментов
Аmore (ит. аморэ),любовь
"Аmorevole (ит. аморэволе), Аmorosamente (аморозамэнтэ), Аmoroso (аморозо)","нежно, страстно"
"Аmpiamente, ampio (ит. ампиамэнтэ, ампио)","широко, протяжно"
"Аmplitude (фр. амплитюд), Аmplitudine (ит. амплитудинэ)",амплитуда [колебаний]
Аn (нем. ан),"к, на"
"Аnacrouse (фр. анакруз), Аnacrusi (ит. анакрузи)",затакт
Аnche (ит. анкэ),"также, даже, еще; напр., Fl. Ill Аnche Piccolo - 3- й флейтист, также исп. на пикколо"
"Аnche (фр. анш), Аnche battante (анш батант)",1) трость у деревянных духовых инструментов; 2) язычок в трубах органа
Аnche double (анш дубль),двойная трость у деревянного духового инструмента
Аnche libre (анш либр),"свободный язычок [в гармонике, фисгармонии]"
"Аncia (ит. анча), Аncia battente (анча баттэнтэ)",1) трость у деревянного духового инструмента; 2) язычок в трубах органа
Аncia doppia (ит. анча доппиа),двойная трость у деревянного духового инструмента
Аncia liberа (анча либэра),"свободный язычок [в гармонике, фисгармонии]"
Аncien (фр. ансьён),"старинный, древний"
Аncоrа (ит. анкора),"еще, повторить"
Аnd (англ. энд),и
Аndacht (нем. андахт),благоговение; mit Andacht (мит андахт) - благоговейно
Аndamento (ит. андамэнто),"1) интерлюдия в фуге; 2) тема фуги значит, протяженности или мелодически завершенная"
Аndante (ит. андантэ),"умеренный темп в характере обычного шага, иногда темп медленной части сонатного цикла; в 18 в. понималось как движение грациозное, не очень медленное"
Аndante cantabile (ит. андантэ кантабиле),медленно и певуче
Аndante maestoso (ит. андантэ маэстозо),медленно и величественно
Аndante pastorale (ит. андантэ пасто,"рале) - медленно, пасторально"
Аndante vivace (ит. андантэ вивачэ),"в темпе анданте, но живо и пылко [Бетховен. «Песня из далекого края»]"
Аndantino (ит. андантино),"темп несколько скорее, чем andante, но медленнее, чем allegretto"
Аndare a battuta (ит. андарэ а баттута),"исполнять, следуя ударам метронома"
Аnello (ит. анэлло),кольцевой клапан (у духовых инструментов)
Аnfang (нем. анфанг),"начало; wie im Anfang (ей им анфанг) - как в начале, vom Anfang (фом анфанг) - сначала"
Аnfangen (анфанген),начинать
Аngenehm (нем. ангэнэм),приятно
Аnglaise (фр. англез),общее название старинных английских танцев
Аngoissé (фр. ангуассэ),"тревожно, томительно, тоскливо"
"Аngosciosamente (ит. ангошозамэнтэ), Аngoscioso (ангошóзо)","тревожно, беспокойно"
Аngustia (исп. ангустиа),тоска; con angustia (кон ангустиа) - в тоске [де Фалья. «Любовь- волшебница»]
Аnhalten (нем. анхальтэн),"остановиться, сдерживать"
Аnhaltend (анхальтэнд),"задерживая, сдержанно"
Аnhang (нем. анханг),добавление
Аnima (ит. анима),1) душа; 2) душка у смычковых инструментов; con anima (кон анима) - с чувством
"Аnimando (ит. анимандо), Аnimant (фр. аниман), Аnimez (аиимэ)","воодушевляясь, оживляясь"
"Аnimate (ит. анимато), Аnimoso (анимозо), Аnimé (фр. анимэ), Аnimated (англ. энимэйтэд)","воодушевленно, оживленно"
Anklang (нем. анкланг),"созвучие, аккорд"
Amutig (нем. анмутих),грациозно
Anneau mobile (фр. ано мобиль),кольцевой клапан [у духовых инструментов]
Anpassen (нем. анпассэн),следовать за...
Ansatz (нем. анзац),амбушюр
Anschlag (нем. аншлаг),1) удар; 2) туше; 3) вид форшлага из 2 нот
Anschliessen (нем. аншлиссэн),связать [со след. частью соч.]
Anschwellen (нем. аншвэллен),"набухая, разрастаясь"
Ansioso (ит. ансьозо),тревожно
Answer (англ. ансэ),"спутник, ответ в фуге"
...Ante (ит. антэ),"...щий, ...ще - в итальянском языке окончание причастия настоящего времени и образов, из него наречия; напр.: brillante - блестящий, блестяще (от brillarе - блестеть)"
"Antecedent (фр. антэсэдан), Antecedente (ит. антэчэдэнтэ)",1) тема фуги; 2) нач. голос в каноне
Anteludium (лат. антэлюдиум),"вступление; то же, что praeludium"
Anthem (англ. энтэм),"антем: 1) гимн, торжественная песнь; 2) церк. хорал, форма культ, музыки в Англии"
"Anticipatio (лат. антиципацио), Anticipation (фр. антисипасьон, англ. энтисипэйшн), Antizipation (нем. антиципацион) Anticipazione (ит. античипационэ)",предъем; буквально предварение
"Antico (ит. антико), Antik (нем. антик), Antique (фр. антик, англ. энтик)",1) старинный; 2) античный
"Antienne (фр. антьён), Antiphone (лат. антифóнэ)","антифон, поочередное (диалогическое) пение солиста и хора или 2 частей хора"
Antiphonariurn (лат. антифонариум),сборник антифонов
Antique cymbals (англ. энтик симблз),античные тарелочки
Anwachsend (нем. анваксэнд),"нарастая, с нарастающей силой"
Aolsharfe (нем. эольсхарфэ),эолова арфа
Apaise (фр. апэзэ),"умиротворенно [Дебюсси, Жоливе]"
"Aperti, aperto (ит. апэрти, апэрто)",[играть] на медных и ударных инструментах без сурдин; буквально открыто
Apertura (ит. апэртура),увертюра
"Apoteosi (ит. апотэози), Apothéose (фр. апотэоз), Apotheose (нем. апотэóзэ), apotheosis (англ. апотиоусис)",апофеоз
Appassionato (ит. аппаесьонато),страстно
Appel mysterieux (фр. апэль мистэрьё),таинственный зов [Скрябин. Соната № 6]
Appena (ит. аппэна),"едва, еле-еле"
Appenato (ит. аппэнато),страдая
Appendix (лат. апэндикс),"прибавление, приложение"
"Applicatura (ит. аппликатура), Applikatur (нем. апликатур)",аппликатура
Appoggiando (ит. апподжандо),выдерживая
Appoggiare la voce (ит. апподжарэ ла вочэ),"делать ударение, отчетливо оттенять переходы"
Appoggiatura (ит. апподжатура),1) форшлаг; 2) задержание
"Appunto, a punto (ит. а пунто)","точно, пунктуально"
Appuуer (фр. аппюйё),"акцентировать, выделять, подчеркивать"
Aprе (фр. апр.),"резко, жестко"
Apres (фр. апрэ),после
Apressado (португ. априссаду),подвижно
"Arabeschi (ит. арабэски), Arabeske (нем. арабэскэ), Arabesques (фр. арабэск, англ. арэбэск)",арабески
Arbitrio (ит. арбитрио),усмотрение; a suo arbitrio (а суо арбитрио) - по своему усмотрению
Arcata (ит. арката),[играть] смычком
Archeggiare (ит. аркэджарэ),водить смычком [по струнам]
Archet (фр. аршэ),смычок; avec archet (авэк аршэ) - [играть] смычком
Archet à la corde (фр. аршэ а ля корд),«смычок на струне»: выделять каждую ноту
Archi (ит. арки),струнные смычковые инструменты
"Archicembalo (ит. аркичэмбало), Arcicembalo (арчичэмбало)",старинный клавишный инструмент
"Archiliuto (ит. аркильюто), Arciliuto (арчильюто), Archiluth (фр. аршилют)",басовая лютня
